Dia ,Cambio 
08/11/2010,12.24830
09/11/2010,12.20680
10/11/2010,12.27140
11/11/2010,12.25960
12/11/2010,12.26260
16/11/2010,12.43530
17/11/2010,12.37830
18/11/2010,12.29240
19/11/2010,12.29960
22/11/2010,12.30900
23/11/2010,12.45770
24/11/2010,12.39120
25/11/2010,12.36690
26/11/2010,12.48900
29/11/2010,12.55380
30/11/2010,12.46640
01/12/2010,12.39670
02/12/2010,12.35460
03/12/2010,12.35970
06/12/2010,12.38840
07/12/2010,12.41230
08/12/2010,12.44840
09/12/2010,12.45860
10/12/2010,12.46170
13/12/2010,12.38690
14/12/2010,12.37030
15/12/2010,12.39630
16/12/2010,12.45050
17/12/2010,12.43450
20/12/2010,12.41700
21/12/2010,12.37200
22/12/2010,12.33790
23/12/2010,12.33320
24/12/2010,12.34590
27/12/2010,12.36530
28/12/2010,12.35670
29/12/2010,12.35710
30/12/2010,12.38170
31/12/2010,12.34960
03/01/2011,12.25740
04/01/2011,12.26190
05/01/2011,12.20640
06/01/2011,12.22560
07/01/2011,12.23690
10/01/2011,12.25420
11/01/2011,12.19070
12/01/2011,12.07570
13/01/2011,12.10280
14/01/2011,12.08710
17/01/2011,12.02990
18/01/2011,12.02610
19/01/2011,12.07440
20/01/2011,12.09030
21/01/2011,12.04820
24/01/2011,12.05160
25/01/2011,12.08560
26/01/2011,12.04080
27/01/2011,12.02390
28/01/2011,12.12140
31/01/2011,12.15190
01/02/2011,12.01700
02/02/2011,12.01900
03/02/2011,12.04990
04/02/2011,11.99460
08/02/2011,11.99370
09/02/2011,12.04320
10/02/2011,12.09370
11/02/2011,12.06350
14/02/2011,12.04610
15/02/2011,12.11400
16/02/2011,12.09570
17/02/2011,12.04830
18/02/2011,12.01720
21/02/2011,12.05580
22/02/2011,12.09170
23/02/2011,12.19000
24/02/2011,12.17300
25/02/2011,12.12350
28/02/2011,12.10620
01/03/2011,12.09290
02/03/2011,12.09810
03/03/2011,12.03680
04/03/2011,12.00640
07/03/2011,12.01700
08/03/2011,12.02540
09/03/2011,11.96800
10/03/2011,11.97550
11/03/2011,11.94410
14/03/2011,11.92350
15/03/2011,12.01710
16/03/2011,12.07100
17/03/2011,12.09250
18/03/2011,12.06150
22/03/2011,11.98850
23/03/2011,12.00040
24/03/2011,11.95550
25/03/2011,11.95050
28/03/2011,11.95900
29/03/2011,11.96780
30/03/2011,11.92190
31/03/2011,11.90840
01/04/2011,11.84120
04/04/2011,11.85330
05/04/2011,11.83220
06/04/2011,11.78360
07/04/2011,11.79310
08/04/2011,11.74210
11/04/2011,11.74470
12/04/2011,11.82660
13/04/2011,11.79070
14/04/2011,11.76790
15/04/2011,11.70900
18/04/2011,11.77830
19/04/2011,11.69250
20/04/2011,11.62520
25/04/2011,11.62940
26/04/2011,11.58240
27/04/2011,11.58680
28/04/2011,11.54280
29/04/2011,11.52780
02/05/2011,11.50230
03/05/2011,11.56650
04/05/2011,11.62140
05/05/2011,11.69340
06/05/2011,11.60900
09/05/2011,11.64100
10/05/2011,11.60090
11/05/2011,11.60750
12/05/2011,11.66560
13/05/2011,11.72190
16/05/2011,11.70940
17/05/2011,11.76600
18/05/2011,11.72340
19/05/2011,11.65880
20/05/2011,11.64670
23/05/2011,11.72920
24/05/2011,11.70320
25/05/2011,11.69480
26/05/2011,11.69560
27/05/2011,11.62560
30/05/2011,11.61230
31/05/2011,11.57800
01/06/2011,11.62770
02/06/2011,11.67390
03/06/2011,11.66890
06/06/2011,11.69830
07/06/2011,11.71960
08/06/2011,11.80010
09/06/2011,11.79650
10/06/2011,11.86860
13/06/2011,11.86800
14/06/2011,11.79820
15/06/2011,11.87510
16/06/2011,11.95910
17/06/2011,11.90060
20/06/2011,11.89160
21/06/2011,11.81300
22/06/2011,11.77890
23/06/2011,11.88160
24/06/2011,11.88220
27/06/2011,11.89380
28/06/2011,11.83890
29/06/2011,11.77480
30/06/2011,11.72300
01/07/2011,11.63680
04/07/2011,11.59250
05/07/2011,11.61940
06/07/2011,11.65440
07/07/2011,11.57380
08/07/2011,11.63370
11/07/2011,11.72740
12/07/2011,11.78670
13/07/2011,11.71700
14/07/2011,11.70100
15/07/2011,11.71780
18/07/2011,11.78770
19/07/2011,11.69640
20/07/2011,11.66380
21/07/2011,11.61740
22/07/2011,11.63930
25/07/2011,11.66410
26/07/2011,11.61720
27/07/2011,11.65270
28/07/2011,11.68210
29/07/2011,11.74250
01/08/2011,11.75140
02/08/2011,11.76570
03/08/2011,11.84730
04/08/2011,11.95230
05/08/2011,11.97940
08/08/2011,12.18450
09/08/2011,12.37100
10/08/2011,12.32210
11/08/2011,12.38990
12/08/2011,12.29920
15/08/2011,12.24240
16/08/2011,12.26310
17/08/2011,12.16510
18/08/2011,12.36850
19/08/2011,12.23860
22/08/2011,12.29480
23/08/2011,12.33570
24/08/2011,12.39520
25/08/2011,12.42590
26/08/2011,12.49530
29/08/2011,12.41480
30/08/2011,12.48380
31/08/2011,12.34800
01/09/2011,12.26160
02/09/2011,12.37350
05/09/2011,12.53530
06/09/2011,12.51020
07/09/2011,12.46610
08/09/2011,12.49560
09/09/2011,12.63240
12/09/2011,12.76870
13/09/2011,12.89940
14/09/2011,12.96460
15/09/2011,12.91270
19/09/2011,13.18600
20/09/2011,13.16690
21/09/2011,13.40450
22/09/2011,13.89170
23/09/2011,13.77880
26/09/2011,13.66770
27/09/2011,13.34140
28/09/2011,13.42170
29/09/2011,13.45670
30/09/2011,13.79940
03/10/2011,13.89670
04/10/2011,13.97140
05/10/2011,13.66750
06/10/2011,13.53410
07/10/2011,13.31430
10/10/2011,13.27510
11/10/2011,13.32660
12/10/2011,13.22130
